33097,33223,31957,32219
32572,32843,33261,32651
33244,33200,33054,31937
32904,33222,32695,32923
32818,32396,31904,33006
33347,32741,32412,33310
32682,32593,33360,32420
32705,32657,33010,33328
32171,32674,33383,32558
32774,33096,33283,32148
32500,32383,33595,32380
32623,32761,32925,32659
33090,33102,32724,32441
32611,33484,33191,31597
33428,32399,32257,32496
33151,32810,31783,32565
33266,32466,32633,33012
33121,32142,32402,33406
32820,32303,32158,33236
32522,32549,32327,32920
32350,33083,33585,32034
32781,32065,32908,33504
32048,33010,33404,33029
32239,32854,33331,32410
32914,33201,32785,32425
32541,33342,33023,32769
32987,33067,32725,33362
33345,32732,32831,32666
33119,31936,32522,33680
32732,32880,32934,33405
33173,32767,32003,33503
33046,32589,32986,32830
32279,32623,33375,32837
32382,32526,33385,33011
32365,33503,32531,32126
32297,33137,33232,31839
32736,33274,32714,32613
32752,33136,32093,32114
32691,33232,32491,32240
33094,32774,32633,32501
32829,32415,32595,33531
33243,32692,31429,32485
32603,32129,32828,33558
32874,32173,32842,33591
32241,32846,32991,32669
32336,32394,33027,32518
32469,32732,33262,32728
32289,32962,32958,32958
32870,33179,31807,32406
32315,32777,33210,32849
33146,33238,32897,31999
32834,33218,32434,33028
32983,32326,32137,33018
33441,32674,32563,33343
32842,32434,33310,32471
32785,32616,32817,33315
32168,32785,33471,32310
32819,33260,33416,31883
32386,32396,33515,32248
32405,32798,32837,32489
32972,33060,32693,32573
32296,33403,33231,31832
32995,32422,32110,32634
32801,32790,31875,32620
33332,32531,32762,33083
33148,32050,32382,33716
32959,32392,32228,33352
32712,32654,32533,32907
32360,33173,33670,31983
32826,32203,32845,33399
32403,33030,33376,33053
32576,32905,33361,32355
32760,32938,32730,32578
32298,33273,32870,32755
32790,32906,32591,33389
33169,32635,32857,32748
33154,31821,32582,33672
32774,32685,32844,33373
33094,32735,32157,33324
32965,32621,33051,32739
32356,32786,33242,32631
32582,32565,33043,32711
32617,33589,32670,31891
32566,33229,33192,31768
32594,33214,32464,32731
32793,33129,31724,32085
32490,33098,32558,32458
32966,32678,32654,32770
32919,32407,32462,33416
33311,32617,31634,32476
32554,32098,32831,33570
32811,32170,32795,33564
32456,32962,32766,32395
32315,32456,33453,32427
32712,32861,33070,32439
32397,33028,32840,32778
32917,33064,31649,32484
32426,32823,33276,33037
33007,33164,32686,32012
32788,33075,32362,33091
33007,32314,32439,33090
33577,32743,32663,33359
32838,32393,33207,32589
32891,32538,32723,33294
32281,32985,33581,32435
32690,33425,33379,31860
32708,32497,33189,32356
32571,32872,32533,32494
33030,33006,32746,32836
32299,33220,32868,32206
32996,32399,32024,32893
32766,32778,31819,32788
33355,32517,32989,32882
33239,31838,32206,33727
32973,32415,32637,33282
32857,32674,32842,32865
32324,33241,33607,31794
32650,32338,32909,33078
32490,33089,33657,32911
32697,32944,33587,32265
32807,32769,32349,32784
32431,33335,32767,32679
32812,32889,32436,33532
33107,32642,32957,32823
33153,31836,32551,33764
